Anon_ID,Gender,Citizenship Region,DEI Alum,DEI Scholarship,DEI Speaker,DEI Organizing Committee,DEI-Sponsor,DEI-Staff,DEI Scholarship Cost,DEI Speaker Category
1,male,Africa,1,1,0,0,0,0,"$2,004.04",
2,male,Northern America,1,0,1,1,0,0,$0.00,Project Presentation
3,female,Latin America and the Caribbean,1,1,1,0,0,0,"$1,981.00",Project Presentation
4,male,Asia,1,1,0,0,0,0,"$2,178.00",
5,male,Africa,1,1,0,0,0,0,"$1,720.88",
6,female,Europe,1,1,0,0,0,0,"$1,310.00",
7,female,Europe,1,1,0,0,0,0,"$1,238.31",
8,female,Oceania,1,1,0,0,0,0,"$2,622.00",
9,male,Europe,1,1,1,0,0,0,"$1,396.00",Workshop Leader
10,female,Africa,1,1,0,0,0,0,"$1,774.00",
11,female,Asia,1,1,0,0,0,0,"$1,829.00",
12,male,Latin America and the Caribbean,1,1,0,0,0,0,$824.00,
13,female,Europe,1,0,0,1,0,0,$0.00,
14,male,Europe,1,1,0,0,0,0,"$1,437.00",
15,male,Europe,1,0,1,1,0,0,$0.00,Project Presentation
16,male,Northern America,1,1,0,0,0,0,"$1,096.00",
17,female,Asia,1,1,0,0,0,0,"$1,706.00",
18,female,Europe,1,1,0,0,0,0,"$1,430.00",
19,male,Asia,1,1,0,0,0,0,"$2,062.68",
20,male,Europe,1,1,1,0,0,0,"$1,195.00",Project Presentation
21,male,Asia,1,1,0,0,0,0,"$1,934.50",
22,female,Asia,1,1,0,0,0,0,"$2,281.91",
23,male,Asia,1,1,1,0,0,0,"$2,290.31",Panelist
24,female,Northern America,1,0,0,1,0,0,$0.00,
25,male,Asia,1,0,0,1,0,0,$0.00,
26,female,Latin America and the Caribbean,1,1,0,0,0,0,"$1,087.00",
27,male,Asia,1,0,0,1,0,0,$0.00,
28,female,Latin America and the Caribbean,1,1,0,0,0,0,"$1,646.00",
29,female,Northern America,1,0,1,1,0,0,$0.00,"Panel Moderator, Major Speaker, Workshop Leader"
30,female,Northern America,1,0,0,1,0,0,$0.00,
31,male,Europe,1,1,1,0,0,0,"$1,187.00",Workshop Leader
32,male,Europe,1,1,1,0,0,0,$863.00,Project Presentation
33,male,Europe,1,0,1,1,0,0,$0.00,"Panelist, Workshop Leader"
34,male,Africa,1,1,0,0,0,0,"$1,879.00",
35,male,Africa,1,0,0,1,0,0,$0.00,
36,female,Africa,1,1,1,0,0,0,"$1,921.00",Panelist
37,female,Africa,1,1,1,0,0,0,"$1,740.00",Workshop Leader
38,male,Asia,1,1,0,0,0,0,"$1,782.00",
39,male,Europe,1,1,0,0,0,0,$907.00,
40,female,Northern America,1,1,1,0,0,0,$493.00,"Panel Moderator, Panelist"
41,male,Asia,1,1,0,0,0,0,"$2,024.00",
42,male,Europe,1,1,0,0,0,0,"$1,311.00",
43,female,Latin America and the Caribbean,1,1,0,0,0,0,"$1,280.00",
44,male,Africa,1,1,1,0,0,0,"$1,969.00",Panelist
45,male,Latin America and the Caribbean,1,1,0,0,0,0,"$1,785.00",
46,male,Africa,1,1,0,0,0,0,"$2,066.49",
47,male,Europe,1,1,1,0,0,0,"$1,384.00",Project Presentation
48,female,Europe,1,1,0,0,0,0,$680.00,
49,male,Europe,1,0,0,1,0,0,$0.00,
50,male,Latin America and the Caribbean,1,1,0,0,0,0,"$1,094.00",
51,male,Europe,1,1,0,0,0,0,"$1,288.00",
52,male,Europe,1,1,0,0,0,0,"$1,415.49",
53,female,Northern America,1,1,0,0,0,0,"$1,067.20",
54,female,Oceania,1,1,1,0,0,0,"$1,956.00","Panelist, Workshop Leader"
55,male,Europe,1,1,0,0,0,0,"$1,316.00",
56,male,Northern America,1,1,0,0,0,0,"$1,584.00",
57,male,Europe,1,1,0,0,0,0,"$1,280.00",
58,male,Europe,1,1,0,0,0,0,"$1,599.48",
59,female,Europe,1,1,0,0,0,0,"$1,193.00",
60,male,Europe,1,1,1,0,0,0,"$1,506.00",Project Presentation
61,female,Northern America,1,1,0,0,0,0,$275.00,
