Anon_ID,gender,citizenship region,DEI Alum,DEI Scholarship,DEI Speaker,DEI Organizing Committee,DEI Sponsor,DEI Staff,DEI Scholarship Cost,DEI Speaker Category
1,male,Europe,0,0,0,0,0,0,$0.00,
2,female,Northern America,0,0,0,0,0,0,$0.00,
3,male,Europe,0,0,0,0,0,0,$0.00,
4,male,Europe,0,0,0,0,0,0,$0.00,
5,male,Northern America,0,0,0,0,0,0,$0.00,
6,female,Northern America,0,0,0,0,0,0,$0.00,
7,male,Northern America,0,0,1,0,0,0,$0.00,Project Presenter
8,male,Europe,0,0,0,0,0,0,$0.00,
9,male,Northern America,0,0,0,0,0,0,$0.00,
10,female,Northern America,0,0,0,0,0,0,$0.00,
11,male,Northern America,1,0,0,0,0,0,$0.00,
12,female,Northern America,1,0,0,0,0,0,$0.00,
13,male,Northern America,1,0,0,0,0,0,$0.00,
14,male,Northern America,1,0,0,0,0,0,$0.00,
15,female,Northern America,1,0,1,0,0,0,$0.00,Panelist
16,female,Northern America,1,0,0,0,0,0,$0.00,
17,female,Europe,1,1,0,0,0,0,$825.00,
18,non-binary,Europe,1,1,1,0,0,0,"$1,552.65","Panelist, Workshop Leader"
19,female,Latin America and the Caribbean,1,1,1,0,0,0,$650.00,Project Presenter
20,female,Europe,1,1,1,0,0,0,$300.00,Project Presenter
21,male,Europe,1,1,0,0,0,0,$300.00,
22,male,Europe,1,0,0,0,0,0,$0.00,
23,female,Latin America and the Caribbean,1,1,0,0,0,0,$939.10,
24,female,Asia,1,0,1,0,0,0,$0.00,Project Presenter
25,male,Northern America,1,0,0,0,0,0,$0.00,
26,female,Oceania,1,0,0,0,0,0,$0.00,
27,male,Northern America,1,1,1,0,0,0,$300.00,Project Presenter
28,female,Northern America,1,1,0,0,0,0,$300.00,
29,male,Northern America,1,0,0,0,0,0,$0.00,
30,female,Africa,1,1,1,0,0,0,$300.00,"Panelist, Workshop Leader"
31,female,Northern America,1,1,0,0,0,0,$300.00,
32,female,Northern America,1,0,0,0,0,0,$0.00,
33,male,Latin America and the Caribbean,1,1,0,0,0,0,$300.00,
34,male,Africa,1,1,0,0,0,0,$650.00,
35,female,Northern America,1,1,1,0,0,0,$300.00,Project Presenter
36,male,Europe,1,1,0,0,0,0,"$1,246.77",
37,male,Northern America,1,0,0,0,0,0,$0.00,
38,female,Asia,1,0,0,0,0,0,$0.00,
39,female,Northern America,1,1,0,0,0,0,$300.00,
40,male,Africa,1,1,1,0,0,0,$300.00,Project Presenter
41,female,Latin America and the Caribbean,1,1,1,0,0,0,$666.55,Panelist
42,female,Europe,1,1,0,0,0,0,$684.20,
43,male,Europe,1,0,0,0,0,0,$0.00,
44,female,Europe,1,1,0,0,0,0,$300.00,
45,female,Europe,1,1,0,0,0,0,$300.00,
46,female,Oceania,1,1,0,0,0,0,$650.00,
47,female,Northern America,1,1,0,0,0,0,$300.00,
48,female,Northern America,1,1,0,0,0,0,$300.00,
49,female,Europe,1,0,1,0,0,0,$0.00,Workshop Leader
50,female,Northern America,1,1,0,0,0,0,$300.00,
51,male,Africa,1,0,0,0,0,0,$0.00,
52,female,Europe,1,1,0,0,0,0,$300.00,
53,male,Europe,1,1,1,0,0,0,$300.00,Project Presenter
54,female,Africa,1,1,0,0,0,0,$300.00,
55,female,Northern America,1,1,1,0,0,0,$300.00,Project Presenter
56,female,Northern America,1,0,0,0,0,0,$0.00,
57,male,Europe,1,1,1,0,0,0,$300.00,Project Presenter
58,female,Oceania,1,1,1,0,0,0,$300.00,Project Presenter
59,female,Europe,1,1,1,0,0,0,$300.00,Project Presenter
60,female,Oceania,1,0,0,0,0,0,$0.00,
61,female,Northern America,1,1,0,0,0,0,$300.00,
62,female,Northern America,1,1,0,0,0,0,$300.00,
63,female,Latin America and the Caribbean,1,1,0,0,0,0,$650.00,
64,female,Latin America and the Caribbean,1,1,1,0,0,0,$300.00,Panelist
65,male,Asia,1,1,1,0,0,0,$300.00,Panelist
66,male,Europe,1,0,1,0,0,0,$0.00,Workshop Leader
67,female,Northern America,1,0,0,0,0,0,$0.00,
68,male,Africa,1,1,0,0,0,0,$812.50,
69,female,Europe,1,0,0,0,0,0,$0.00,
70,male,Northern America,1,0,0,0,0,0,$0.00,
71,female,Latin America and the Caribbean,1,1,0,0,0,0,$711.18,
72,female,Northern America,1,0,0,0,0,0,$0.00,
73,male,Asia,1,1,1,0,0,0,$650.00,Project Presenter
74,male,Asia,1,1,0,0,0,0,"$1,356.36",
75,female,Europe,1,1,0,0,0,0,$885.20,
76,female,Northern America,1,1,0,0,0,0,$300.00,
77,male,Latin America and the Caribbean,1,0,0,0,0,0,$0.00,
78,male,Asia,1,0,0,0,0,0,$0.00,
79,male,Northern America,1,1,1,0,0,0,$300.00,Project Presenter
80,female,Northern America,1,0,0,0,0,0,$0.00,
81,male,Asia,1,1,0,0,0,0,"$2,324.33",
82,female,Northern America,1,0,0,0,0,0,$0.00,
83,female,Latin America and the Caribbean,1,1,0,0,0,0,$856.43,
84,female,Europe,1,1,0,0,0,0,$300.00,
85,male,Europe,1,1,0,0,0,0,$300.00,
86,male,Africa,1,0,0,0,0,0,$0.00,
87,female,Northern America,1,1,1,0,0,0,$300.00,Panelist
88,male,Africa,1,1,0,0,0,0,"$2,266.78",
89,female,Northern America,1,1,0,0,0,0,$300.00,
90,male,Europe,1,1,0,0,0,0,$300.00,
91,female,Europe,1,1,0,0,0,0,$650.00,
92,male,Asia,1,1,0,0,0,0,"$1,691.78",
93,female,Africa,1,1,0,0,0,0,"$2,460.62",
94,female,Africa,1,1,0,0,0,0,"$2,284.30",
95,male,Africa,1,1,0,0,0,0,$845.97,
96,male,Asia,1,1,0,0,0,0,"$1,691.26",
97,female,Northern America,1,1,0,0,0,0,$300.00,
98,male,Asia,1,1,0,0,0,0,"$2,012.33",
99,male,Africa,1,1,0,0,0,0,"$1,012.43",
100,female,Latin America and the Caribbean,1,1,0,0,0,0,"$1,503.76",
101,female,Africa,1,1,1,0,0,0,"$2,039.16",Project Presenter
102,female,Europe,1,1,0,0,0,0,"$1,446.35",
103,female,Europe,1,1,0,0,0,0,"$1,336.96",
104,male,Europe,1,1,0,0,0,0,$878.56,
105,female,Asia,1,1,1,0,0,0,"$4,142.14","Panelist, Workshop Leader"
106,female,Europe,1,1,1,0,0,0,$300.00,Workshop Leader
107,female,Europe,1,0,0,0,0,0,$0.00,
108,female,Northern America,1,1,0,0,0,0,$562.50,
109,male,Europe,1,0,0,0,0,0,$0.00,
110,male,Asia,1,1,1,0,0,0,"$1,432.14",Project Presenter
111,female,Africa,1,1,0,0,0,0,"$1,302.78",
112,female,Northern America,1,0,0,0,0,0,$0.00,
113,male,Asia,1,0,0,1,0,0,$0.00,
114,female,Northern America,1,0,0,1,0,0,$0.00,
115,female,Northern America,1,0,0,1,0,0,$0.00,
116,male,Europe,1,0,0,1,0,0,$0.00,
117,male,Europe,1,0,0,1,0,0,$0.00,
